agent_id,first_name,last_name,email,phone_number,office_location,region,specialization,secondary_specialization,experience_level,years_of_experience,hire_date,agency_type,license_number,active_clients,policy_conversion_rate,customer_satisfaction_score,annual_sales_target,ytd_sales,ytd_target_percentage,average_policy_value,commission_tier,training_completed,performance_rating,retention_rate,cross_sell_ratio
AG0110,Kara,Noble,pphillips@example.com,4259314369,"Port Ricky, NJ",Midwest,Commercial,Health,Senior,11,2014-06-02,Captive,LIC-86305-ZG,198,0.93,8.8,593150,266734,45.0,2977,B,True,Below,0.8,3.1
AG0111,Timothy,Smith,martinezjared@example.org,(231)987-1974,"Dayside, NM",Midwest,Health,Small Business,Junior,6,2019-06-01,Independent,LIC-33574-Za,106,0.46,8.3,715048,853357,119.3,2970,B,False,Below,0.89,1.4
AG0112,Bradley,Torres,mooredebra@example.net,704.557.5174x6712,"Juliaside, GU",Northwest,Health,Farm,Senior,9,2016-06-01,Independent,LIC-00126-jp,91,0.88,7.9,863936,705577,81.7,1996,C,True,Meets,0.91,0.5
AG0113,Peter,Wright,garybailey@example.org,(453)544-5288,"West Anthonyton, MP",West,Health,Commercial,Mid-level,9,2016-06-01,Captive,LIC-73536-It,91,0.74,9.8,529029,551363,104.2,1616,B,False,Below,0.88,0.5
AG0114,Chloe,Rogers,ofox@example.com,001-382-423-1295x01944,"Travismouth, DE",West,Auto,Farm,Executive,12,2013-06-02,Corporate,LIC-98375-OL,96,0.54,8.8,1259564,563851,44.8,1792,D,False,Meets,0.93,2.1
AG0115,Brittney,Davis,hogansherry@example.org,(725)480-2256,"Maryfurt, AL",Northwest,Multi-line,Commercial,Senior,10,2015-06-02,Corporate,LIC-05127-fd,42,0.73,8.5,998151,399728,40.0,3406,D,True,Below,0.91,2.5
AG0116,Michael,Bryant,hclark@example.org,(494)530-5578,"West Patriciaport, MN",Southeast,High-value,Commercial,Executive,17,2008-06-03,Captive,LIC-54276-BU,115,0.64,8.6,455564,262385,57.6,1169,C,True,Meets,0.91,0.5
AG0117,Michele,Curry,lsanders@example.com,001-286-216-9286x145,"Martinborough, PR",Northeast,Home,Small Business,Executive,9,2016-06-01,Independent,LIC-82866-Tt,220,0.79,8.7,708845,551063,77.7,1284,B,False,Meets,0.88,1.9
AG0118,Ricky,Young,michael62@example.com,+1-686-733-9130x89165,"Patrickview, AZ",West,Home,Multi-line,Mid-level,9,2016-06-01,Direct,LIC-38165-Om,197,0.49,7.1,1048674,768252,73.3,1861,B,False,Meets,0.77,1.9
AG0119,Linda,Johnson,johnmartinez@example.com,(649)720-4631x237,"South Victoria, NM",West,Home,Farm,Mid-level,11,2014-06-02,Corporate,LIC-12184-vb,185,0.78,9.5,553186,462763,83.7,1790,C,False,Meets,0.83,1.0
AG0120,Jeremy,Rodriguez,dianesanchez@example.com,8409338613,"Stephenfurt, NH",Midwest,Small Business,Home,Executive,5,2020-05-31,Captive,LIC-36546-Ef,185,0.54,6.8,1100016,618619,56.2,2137,A,False,Below,0.89,2.9
AG0121,Samantha,Jones,alanbishop@example.com,993.935.3982,"Blakehaven, IN",Midwest,Home,High-value,Junior,9,2016-06-01,Captive,LIC-97998-dY,144,0.79,9.3,858612,518544,60.4,2841,A,True,Meets,0.93,1.5
AG0122,Timothy,Collins,wesley81@example.net,(961)483-5062x58171,"Port Natalieport, FL",Northwest,Farm,Commercial,Senior,6,2019-06-01,Corporate,LIC-94410-wu,141,0.6,9.0,512158,373801,73.0,1971,B,False,Below,0.83,2.6
AG0123,Richard,Smith,vazquezjessica@example.net,(433)731-0956,"East Geraldside, TN",Southwest,Farm,High-value,Executive,15,2010-06-03,Corporate,LIC-97899-pp,142,0.5,7.5,687038,411896,60.0,2754,C,False,Exceeds,0.87,1.7
AG0124,Lindsey,Wolf,andrewlane@example.com,+1-417-809-4764x7486,"Byrdburgh, GU",Northeast,Health,Farm,Senior,15,2010-06-03,Direct,LIC-80623-JK,127,0.62,7.8,521747,264657,50.7,2340,A,True,Meets,0.98,2.0
AG0125,Joseph,Downs,kara36@example.org,588-423-7625,"North Lindastad, NE",West,Auto,Commercial,Mid-level,25,2000-06-05,Corporate,LIC-61966-uK,130,0.47,7.4,552297,341339,61.8,2437,C,False,Meets,0.91,1.0
AG0126,Joshua,Burch,hammondrachel@example.net,+1-207-826-2098x6182,"Kennethville, AK",Southwest,Commercial,High-value,Senior,16,2009-06-03,Corporate,LIC-39552-qc,126,0.64,7.9,1155546,629392,54.5,1903,B,False,Meets,0.78,1.1
AG0127,Rebecca,Levy,jasonmoore@example.com,927.781.4906x323,"Port Lindsey, ND",Northeast,Multi-line,Health,Mid-level,5,2020-05-31,Direct,LIC-82692-Hn,44,0.64,8.2,1014096,1023541,100.9,1811,B,False,Meets,0.7,2.8
AG0128,Dustin,Houston,nkelly@example.org,+1-252-903-7231,"West Seth, NJ",Southwest,Multi-line,Commercial,Senior,8,2017-06-01,Independent,LIC-00218-HX,97,0.78,7.5,1332358,1193979,89.6,1139,B,True,Below,0.97,1.9
AG0129,Amber,Mitchell,parkerkathleen@example.org,470-722-4478x3623,"North Huntermouth, IL",Midwest,Auto,Small Business,Senior,16,2009-06-03,Corporate,LIC-31331-Bg,123,0.63,9.7,635579,387450,61.0,2294,D,False,Below,0.75,2.0
AG0130,Kristin,Becker,dowens@example.com,001-416-705-0842x79956,"Mckenzieburgh, DC",Northeast,Commercial,Auto,Executive,15,2010-06-03,Corporate,LIC-38659-yW,111,0.95,7.4,593696,653692,110.1,1592,B,False,Exceeds,0.85,2.4
AG0131,Zachary,Sanchez,patricia33@example.org,+1-772-462-8228x65719,"North Timothyland, UT",Northwest,Commercial,Small Business,Mid-level,7,2018-06-01,Corporate,LIC-77322-ac,274,0.66,8.0,577978,357217,61.8,2381,A,False,Below,0.93,0.8
AG0132,Zoe,Walker,vle@example.net,513-932-1308x121,"West Michael, KY",Southeast,Health,Multi-line,Junior,8,2017-06-01,Independent,LIC-82518-hn,142,0.57,9.1,1387339,1129522,81.4,3487,D,True,Below,0.83,1.3
AG0133,Jose,Miller,yhuang@example.net,(765)367-3320,"New Rachael, DC",Midwest,Health,Life,Junior,17,2008-06-03,Independent,LIC-97432-XJ,84,0.49,8.8,666152,435887,65.4,2615,C,True,Meets,0.75,1.0
AG0134,Lauren,Adams,carol05@example.net,(401)737-0924x7810,"Floydhaven, NC",Northwest,Farm,Small Business,Junior,7,2018-06-01,Corporate,LIC-42380-Il,68,0.46,7.8,1298940,1245818,95.9,3871,D,True,Meets,0.69,0.9
AG0135,Kelly,Saunders,bhernandez@example.net,001-799-608-2734x2299,"Smithview, OK",Southeast,Life,Farm,Senior,7,2018-06-01,Corporate,LIC-94215-Pf,49,0.86,9.2,741697,853304,115.0,3905,D,True,Exceeds,0.85,1.9
AG0136,Karen,Brandt,victoriaryan@example.net,001-209-361-2222x15407,"Karlaville, PR",Southeast,Farm,High-value,Executive,14,2011-06-03,Captive,LIC-11422-JA,114,0.36,7.7,466837,317804,68.1,3366,C,False,Exceeds,0.85,1.5
AG0137,Stacy,Hernandez,francisco79@example.org,(661)349-3607x4161,"Franklinside, WY",Northeast,Small Business,Life,Executive,21,2004-06-04,Independent,LIC-55671-SR,83,0.56,7.7,1004075,1075481,107.1,1553,D,False,Exceeds,0.74,0.6
AG0138,Krystal,Flores,nlynn@example.org,4546921556,"South Carol, MP",Southeast,Farm,High-value,Junior,21,2004-06-04,Direct,LIC-49664-Ie,246,0.45,9.9,790873,464746,58.8,1376,A,True,Exceeds,0.83,0.9
AG0139,Ryan,Robinson,campbellrobin@example.net,001-934-345-9185x2851,"Dylanbury, IL",Southwest,Home,High-value,Executive,4,2021-05-31,Captive,LIC-84428-CA,119,0.56,8.4,444536,380225,85.5,4212,D,True,Meets,0.7,1.0
AG0140,Charles,Nielsen,udavis@example.org,794-215-1523,"Smithhaven, RI",Southwest,Small Business,High-value,Executive,28,1997-06-06,Independent,LIC-70473-Le,74,0.31,8.8,685585,683792,99.7,2322,A,True,Exceeds,0.72,1.4
AG0141,Eric,Hammond,salastammy@example.org,+1-782-317-0750,"Leeborough, MO",Midwest,Life,Commercial,Executive,6,2019-06-01,Corporate,LIC-35500-rD,68,0.66,6.2,444913,289022,65.0,4122,D,False,Exceeds,0.79,1.7
AG0142,Christian,Evans,riverakenneth@example.com,001-351-860-3772x28683,"West Matthewville, ND",Southwest,High-value,Home,Executive,16,2009-06-03,Captive,LIC-50489-Xi,151,0.66,8.1,980346,1166142,119.0,3015,C,False,Meets,0.87,1.4
AG0143,Andrew,Burns,ptaylor@example.net,724-221-9873x318,"Paulbury, FM",West,Multi-line,Farm,Senior,6,2019-06-01,Independent,LIC-64559-DH,254,0.72,8.0,767269,681141,88.8,1311,B,False,Exceeds,0.79,1.7
AG0144,Rebecca,Moss,tammydunn@example.com,497-862-0467,"Port Carolynmouth, MH",West,Auto,Home,Mid-level,14,2011-06-03,Direct,LIC-22138-lK,201,0.78,7.4,542953,476780,87.8,1422,A,True,Meets,0.84,1.4
AG0145,Kim,Rogers,reynoldsgina@example.net,8643045494,"New Kylemouth, GU",Southeast,Multi-line,Health,Senior,26,1999-06-06,Corporate,LIC-00298-KX,75,0.53,9.3,947427,560252,59.1,2182,A,True,Meets,0.82,0.5
AG0146,Melanie,Vargas,devin98@example.org,762-834-6249,"Baldwinstad, MS",Southeast,Farm,Life,Junior,17,2008-06-03,Captive,LIC-62320-wC,84,0.66,9.8,1221866,1344841,110.1,1658,C,True,Meets,0.97,2.7
AG0147,Edward,Cole,tracihamilton@example.org,276.426.7010x21381,"Kimberlytown, KS",Northeast,Auto,Farm,Executive,4,2021-05-31,Corporate,LIC-02285-Mw,190,0.41,9.6,977733,463116,47.4,2434,D,False,Below,0.78,2.3
AG0148,John,Powell,james36@example.com,(459)958-1877,"Mejiaberg, FM",Northeast,Home,Health,Executive,11,2014-06-02,Direct,LIC-71160-uF,243,0.55,7.5,809713,716253,88.5,2601,C,True,Below,0.93,0.7
AG0149,Melissa,Wilkins,leonardhill@example.net,(473)444-1120x314,"Port Tannerberg, HI",Southeast,Small Business,Health,Senior,14,2011-06-03,Direct,LIC-45038-ky,110,0.48,8.5,871774,485712,55.7,1033,A,True,Meets,0.87,1.7
AG0150,Sara,Rose,rjohnson@example.net,+1-431-743-1480x251,"Mayomouth, CO",Northeast,Life,Home,Junior,9,2016-06-01,Independent,LIC-26319-MK,135,0.57,8.5,614255,366011,59.6,2553,C,False,Below,0.89,2.6
